"","Nombre.Dpto","Year","Cases"
"1","AMAZONAS",2007,169
"2","AMAZONAS",2008,748
"3","AMAZONAS",2009,1831
"4","AMAZONAS",2010,791
"5","AMAZONAS",2011,187
"6","AMAZONAS",2012,1357
"7","AMAZONAS",2013,2741
"8","AMAZONAS",2014,1070
"9","AMAZONAS",2015,4127
"10","AMAZONAS",2016,2566
"11","ANTIOQUIA",2007,664
"12","ANTIOQUIA",2008,18167
"13","ANTIOQUIA",2009,32813
"14","ANTIOQUIA",2010,46792
"15","ANTIOQUIA",2011,26217
"16","ANTIOQUIA",2012,25590
"17","ANTIOQUIA",2013,20821
"18","ANTIOQUIA",2014,9345
"19","ANTIOQUIA",2015,6763
"20","ANTIOQUIA",2016,6790
"21","ARAUCA",2007,281
"22","ARAUCA",2008,50
"23","ARAUCA",2009,33
"24","ARAUCA",2010,14
"25","ARAUCA",2011,5
"26","ARAUCA",2012,8
"27","ARAUCA",2013,5
"28","ARAUCA",2014,4
"29","ARAUCA",2015,8
"30","ARAUCA",2016,12
"31","ATLANTICO",2007,69
"32","ATLANTICO",2008,131
"33","ATLANTICO",2009,32
"34","ATLANTICO",2010,46
"35","ATLANTICO",2011,25
"36","ATLANTICO",2012,23
"37","ATLANTICO",2013,27
"38","ATLANTICO",2014,21
"39","ATLANTICO",2015,6
"40","ATLANTICO",2016,20
"41","BOGOTA",2007,45
"42","BOGOTA",2008,87
"43","BOGOTA",2009,22
"44","BOGOTA",2010,17
"45","BOGOTA",2011,20
"46","BOGOTA",2012,11
"47","BOGOTA",2013,6
"48","BOGOTA",2014,4
"49","BOGOTA",2015,17
"50","BOGOTA",2016,11
"51","BOLIVAR",2007,317
"52","BOLIVAR",2008,745
"53","BOLIVAR",2009,998
"54","BOLIVAR",2010,3653
"55","BOLIVAR",2011,3535
"56","BOLIVAR",2012,4065
"57","BOLIVAR",2013,2162
"58","BOLIVAR",2014,1767
"59","BOLIVAR",2015,881
"60","BOLIVAR",2016,908
"61","BOYACA",2007,142
"62","BOYACA",2008,66
"63","BOYACA",2009,70
"64","BOYACA",2010,131
"65","BOYACA",2011,16
"66","BOYACA",2012,24
"67","BOYACA",2013,9
"68","BOYACA",2014,3
"69","BOYACA",2015,1
"70","BOYACA",2016,5
"71","CALDAS",2007,50
"72","CALDAS",2008,25
"73","CALDAS",2009,69
"74","CALDAS",2010,242
"75","CALDAS",2011,100
"76","CALDAS",2012,26
"77","CALDAS",2013,24
"78","CALDAS",2014,21
"79","CALDAS",2015,20
"80","CALDAS",2016,40
"81","CAQUETA",2007,198
"82","CAQUETA",2008,74
"83","CAQUETA",2009,217
"84","CAQUETA",2010,269
"85","CAQUETA",2011,147
