"","Cod.Dpto","Cod.Cpob","Nombre.Dpto","Nombre.Mun","Nombre.Cpob","Tipo.Cpob","Longitud","X","Latitud","Distrito","Tipo.de.Municipio","Area.Metropolitana"
"1",5,5001000,"ANTIOQUIA","MEDELLÍN","MEDELLÍN","CABECERA MUNICIPAL (CM)","-75,5770556256",NA,"6,24894080956","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRÁ"
"126",8,8001000,"ATLANTICO","BARRANQUILLA","BARRANQUILLA","CABECERA MUNICIPAL (CM)","-74,8187880943",NA,"10,9796493947","BARRANQUILLA, DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO.","MUNICIPIO","AREA METROPOLITANA DE BARRANQUILLA"
"149",11,11001000,"BOGOTA","BOGOTÁ, D.C.","BOGOTÁ, D.C.","CABECERA MUNICIPAL (CM)","-74,1139187163",NA,"4,62457504964","BOGOTÁ, DISTRITO CAPITAL.","MUNICIPIO",""
"150",13,13001000,"BOLIVAR","CARTAGENA DE INDIAS","CARTAGENA DE INDIAS","CABECERA MUNICIPAL (CM)","-75,501229216",NA,"10,3988164844","CARTAGENA DE INDIAS, DISTRITO TURÍSTICO, HISTÓRICO Y CULTURAL.","MUNICIPIO",""
"196",15,15001000,"BOYACA","TUNJA","TUNJA","CABECERA MUNICIPAL (CM)","-73,3543638186",NA,"5,53937063584","","MUNICIPIO",""
"319",17,17001000,"CALDAS","MANIZALES","MANIZALES","CABECERA MUNICIPAL (CM)","-75,4904150625",NA,"5,05705056379","","MUNICIPIO",""
"346",18,18001000,"CAQUETA","FLORENCIA","FLORENCIA","CABECERA MUNICIPAL (CM)","-75,6079932658",NA,"1,61582907928","","MUNICIPIO",""
"362",19,19001000,"CAUCA","POPAYÁN","POPAYÁN","CABECERA MUNICIPAL (CM)","-76,624787641",NA,"2,44823960489","","MUNICIPIO",""
"404",20,20001000,"CESAR","VALLEDUPAR","VALLEDUPAR","CABECERA MUNICIPAL (CM)","-73,2586483431",NA,"10,4615184337","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DEL CACIQUE UPAR"
"429",23,23001000,"CORDOBA","MONTERÍA","MONTERÍA","CABECERA MUNICIPAL (CM)","-75,8956393314",NA,"8,74991666326","","MUNICIPIO",""
"459",25,25001000,"CUNDINAMARCA","AGUA DE DIOS","AGUA DE DIOS","CABECERA MUNICIPAL (CM)","-74,6695456055",NA,"4,37585313348","","MUNICIPIO",""
"575",27,27001000,"CHOCO","QUIBDÓ","SAN FRANCISCO DE QUIBDO","CABECERA MUNICIPAL (CM)","-76,6511246326",NA,"5,69234946505","","MUNICIPIO",""
"605",41,41001000,"HUILA","NEIVA","NEIVA","CABECERA MUNICIPAL (CM)","-75,2779458694",NA,"2,93554559251","","MUNICIPIO",""
"642",44,44001000,"GUAJIRA","RIOHACHA","RIOHACHA","CABECERA MUNICIPAL (CM)","-72,9122712549",NA,"11,5291254274","RÍOHACHA, DISTRITO ESPECIAL, TURÍSTICO, Y CULTURAL.","MUNICIPIO",""
"657",47,47001000,"MAGDALENA","SANTA MARTA","SANTA MARTA","CABECERA MUNICIPAL (CM)","-74,1883970496",NA,"11,2257031416","SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO.","MUNICIPIO",""
"687",50,50001000,"META","VILLAVICENCIO","VILLAVICENCIO","CABECERA MUNICIPAL (CM)","-73,626877897",NA,"4,12295758045","","MUNICIPIO",""
"716",52,52001000,"NARIÑO","PASTO","SAN JUAN DE PASTO","CABECERA MUNICIPAL (CM)","-77,2782674539",NA,"1,21280859722","","MUNICIPIO",""
"780",54,54001000,"NORTE SANTANDER","CÚCUTA","CÚCUTA","CABECERA MUNICIPAL (CM)","-72,5055909659",NA,"7,90526711655","","MUNICIPIO","AREA METROPOLITANA DE CÚCUTA"
"820",63,63001000,"QUINDIO","ARMENIA","ARMENIA","CABECERA MUNICIPAL (CM)","-75,6762454094",NA,"4,53805331619","","MUNICIPIO",""
"832",66,66001000,"RISARALDA","PEREIRA","PEREIRA","CABECERA MUNICIPAL (CM)","-75,7155099202",NA,"4,80888773215","","MUNICIPIO","AREA METROPOLITANA DE CENTRO OCCIDENTE"
"846",68,68001000,"SANTANDER","BUCARAMANGA","BUCARAMANGA","CABECERA MUNICIPAL (CM)","-73,132325231",NA,"7,12278728534","","MUNICIPIO","AREA METROPOLITANA DE BUCARAMANGA"
"933",70,70001000,"SUCRE","SINCELEJO","SINCELEJO","CABECERA MUNICIPAL (CM)","-75,385219416",NA,"9,30015762595","","MUNICIPIO",""
"959",73,73001000,"TOLIMA","IBAGUÉ","IBAGUÉ","CABECERA MUNICIPAL (CM)","-75,1963501468",NA,"4,4396307255","","MUNICIPIO",""
"1006",76,76001000,"VALLE","CALI","SANTIAGO DE CALI","CABECERA MUNICIPAL (CM)","-76,5263911952",NA,"3,40638218413","","MUNICIPIO",""
"1048",81,81001000,"ARAUCA","ARAUCA","ARAUCA","CABECERA MUNICIPAL (CM)","-70,762773048",NA,"7,07773650197","","MUNICIPIO",""
"1055",85,85001000,"CASANARE","YOPAL","YOPAL","CABECERA MUNICIPAL (CM)","-72,3937905332",NA,"5,33249117563","","MUNICIPIO",""
"1074",86,86001000,"PUTUMAYO","MOCOA","MOCOA","CABECERA MUNICIPAL (CM)","-76,6519175009",NA,"1,14428450756","","MUNICIPIO",""
"1087",88,88001000,"SAN ANDRES","SAN ANDRÉS","SAN ANDRÉS","CABECERA MUNICIPAL (CM)","-81,6960414806",NA,"12,5829884179","","MUNICIPIO",""
"1089",91,91001000,"AMAZONAS","LETICIA","LETICIA","CABECERA MUNICIPAL (CM)","-69,9406798289",NA,"-4,21202316969","","MUNICIPIO",""
"1091",94,94001000,"GUAINIA","INÍRIDA","INÍRIDA","CABECERA MUNICIPAL (CM)","-67,918283684",NA,"3,87032554774","","MUNICIPIO",""
"1092",95,95001000,"GUAVIARE","SAN JOSÉ DEL GUAVIARE","SAN JOSÉ DEL GUAVIARE","CABECERA MUNICIPAL (CM)","-72,6400959977",NA,"2,57047809895","","MUNICIPIO",""
"1096",97,97001000,"VAUPES","MITÚ","MITÚ","CABECERA MUNICIPAL (CM)","-70,2349602618",NA,"1,25117078854","","MUNICIPIO",""
"1099",99,99001000,"VICHADA","PUERTO CARREÑO","PUERTO CARREÑO","CABECERA MUNICIPAL (CM)","-67,4855961",NA,"6,18560656721","","MUNICIPIO",""
