"","OBJECTID","DPTO_CCDGO","DPTO_NAREA","DEPTO","Year","Poblacion"
"1",1,"88",49602.13763189,"SAN ANDRES",1985,41745
"2",2,"05",63063325603.3,"ANTIOQUIA",1985,4118871
"3",3,"08",3326730008.33,"ATLANTICO",1985,1516055
"4",4,"11",1633209262.44,"BOGOTA",1985,4225649
"5",5,"13",26665590821.3,"BOLIVAR",1985,1305302
"6",6,"15",23077053533.8,"BOYACA",1985,1137784
"7",7,"17",7415932692.9,"CALDAS",1985,867403
"8",8,"18",90076650375.9,"CAQUETA",1985,287047
"9",9,"19",30643309692.5,"CAUCA",1985,953449
"10",10,"20",22283670028.7,"CESAR",1985,633427
"11",11,"23",25041935532.1,"CORDOBA",1985,1056197
"12",12,"25",22368383444.1,"CUNDINAMARCA",1985,1563498
"13",13,"27",47579077175.6,"CHOCO",1985,361173
"14",14,"41",18711021019.1,"HUILA",1985,723046
"15",15,"44",20670666607.9,"GUAJIRA",1985,362666
"16",16,"47",23205726282.5,"MAGDALENA",1985,888479
"17",17,"50",85485545028.4,"META",1985,510667
"18",18,"52",31649908982.1,"NARIÑO",1985,1136533
"19",19,"54",22023022884.6,"NORTE SANTANDER",1985,953912
"20",20,"63",1935383829.55,"QUINDIO",1985,410154
"21",21,"66",3978381258.68,"RISARALDA",1985,667093
"22",22,"68",30596831607.2,"SANTANDER",1985,1577716
"23",23,"70",10709151724.8,"SUCRE",1985,571994
"24",24,"73",23983356256.7,"TOLIMA",1985,1245647
"25",25,"76",21269355545.1,"VALLE",1985,3041474
"26",26,"81",23805557612,"ARAUCA",1985,102845
"27",27,"85",44483997372.1,"CASANARE",1985,170554
"28",28,"86",25893760987.4,"PUTUMAYO",1985,210030
"29",29,"91",110046458883,"AMAZONAS",1985,38004
"30",30,"94",71567454637.3,"GUAINIA",1985,17871
"31",31,"95",55453915266.9,"GUAVIARE",1985,57396
"32",32,"97",53543583850.6,"VAUPES",1985,22806
"33",33,"99",100014402552,"VICHADA",1985,25734
"34",1,"88",49602.13763189,"SAN ANDRES",1986,43562
"35",2,"05",63063325603.3,"ANTIOQUIA",1986,4193917
"36",3,"08",3326730008.33,"ATLANTICO",1986,1550758
"37",4,"11",1633209262.44,"BOGOTA",1986,4360948
"38",5,"13",26665590821.3,"BOLIVAR",1986,1337290
"39",6,"15",23077053533.8,"BOYACA",1986,1146755
"40",7,"17",7415932692.9,"CALDAS",1986,878054
"41",8,"18",90076650375.9,"CAQUETA",1986,294119
"42",9,"19",30643309692.5,"CAUCA",1986,972489
"43",10,"20",22283670028.7,"CESAR",1986,648834
"44",11,"23",25041935532.1,"CORDOBA",1986,1076561
"45",12,"25",22368383444.1,"CUNDINAMARCA",1986,1596364
"46",13,"27",47579077175.6,"CHOCO",1986,367084
"47",14,"41",18711021019.1,"HUILA",1986,734789
"48",15,"44",20670666607.9,"GUAJIRA",1986,373549
"49",16,"47",23205726282.5,"MAGDALENA",1986,908242
"50",17,"50",85485545028.4,"META",1986,522349
"51",18,"52",31649908982.1,"NARIÑO",1986,1160391
"52",19,"54",22023022884.6,"NORTE SANTANDER",1986,967688
"53",20,"63",1935383829.55,"QUINDIO",1986,416853
"54",21,"66",3978381258.68,"RISARALDA",1986,679979
"55",22,"68",30596831607.2,"SANTANDER",1986,1601793
"56",23,"70",10709151724.8,"SUCRE",1986,583041
"57",24,"73",23983356256.7,"TOLIMA",1986,1252802
"58",25,"76",21269355545.1,"VALLE",1986,3104541
"59",26,"81",23805557612,"ARAUCA",1986,109433
"60",27,"85",44483997372.1,"CASANARE",1986,174744
"61",28,"86",25893760987.4,"PUTUMAYO",1986,215172
"62",29,"91",110046458883,"AMAZONAS",1986,39487
"63",30,"94",71567454637.3,"GUAINIA",1986,18540
"64",31,"95",55453915266.9,"GUAVIARE",1986,59516
"65",32,"97",53543583850.6,"VAUPES",1986,23664
"66",33,"99",100014402552,"VICHADA",1986,26689
"67",1,"88",49602.13763189,"SAN ANDRES",1987,45620
"68",2,"05",63063325603.3,"ANTIOQUIA",1987,4269519
"69",3,"08",3326730008.33,"ATLANTICO",1987,1586111
"70",4,"11",1633209262.44,"BOGOTA",1987,4502390
"71",5,"13",26665590821.3,"BOLIVAR",1987,1372254
"72",6,"15",23077053533.8,"BOYACA",1987,1155003
